user_id,name,email,cluster_id
2,"Budi Santoso",budi@example.com,2
3,"Siti Nurhaliza",siti@example.com,1
4,"Andi Wijaya",andi@example.com,2
5,"Dewi Lestari",dewi@example.com,1
6,"Reza Pratama",reza@example.com,2
7,"Maya Putri",maya@example.com,1
8,"Wisatawan #8",user8@nusawisata.id,2
9,"Wisatawan #9",user9@nusawisata.id,1
10,"Wisatawan #10",user10@nusawisata.id,2
11,"Wisatawan #11",user11@nusawisata.id,2
12,"Wisatawan #12",user12@nusawisata.id,2
13,"Wisatawan #13",user13@nusawisata.id,2
14,"Wisatawan #14",user14@nusawisata.id,1
15,"Wisatawan #15",user15@nusawisata.id,3
16,"Wisatawan #16",user16@nusawisata.id,2
17,"Wisatawan #17",user17@nusawisata.id,3
18,"Wisatawan #18",user18@nusawisata.id,2
19,"Wisatawan #19",user19@nusawisata.id,2
20,"Wisatawan #20",user20@nusawisata.id,3
21,"Wisatawan #21",user21@nusawisata.id,2
22,"Wisatawan #22",user22@nusawisata.id,2
23,"Wisatawan #23",user23@nusawisata.id,3
24,"Wisatawan #24",user24@nusawisata.id,1
25,"Wisatawan #25",user25@nusawisata.id,2
26,"Wisatawan #26",user26@nusawisata.id,1
27,"Wisatawan #27",user27@nusawisata.id,1
28,"Wisatawan #28",user28@nusawisata.id,2
29,"Wisatawan #29",user29@nusawisata.id,3
30,"Wisatawan #30",user30@nusawisata.id,2
31,"Wisatawan #31",user31@nusawisata.id,2
32,"Wisatawan #32",user32@nusawisata.id,1
33,"Wisatawan #33",user33@nusawisata.id,3
34,"Wisatawan #34",user34@nusawisata.id,1
35,"Wisatawan #35",user35@nusawisata.id,3
36,"Wisatawan #36",user36@nusawisata.id,3
37,"Wisatawan #37",user37@nusawisata.id,1
38,"Wisatawan #38",user38@nusawisata.id,3
39,"Wisatawan #39",user39@nusawisata.id,2
40,"Wisatawan #40",user40@nusawisata.id,2
41,"Wisatawan #41",user41@nusawisata.id,1
42,"Wisatawan #42",user42@nusawisata.id,2
43,"Wisatawan #43",user43@nusawisata.id,1
44,"Wisatawan #44",user44@nusawisata.id,3
45,"Wisatawan #45",user45@nusawisata.id,1
46,"Wisatawan #46",user46@nusawisata.id,2
47,"Wisatawan #47",user47@nusawisata.id,3
48,"Wisatawan #48",user48@nusawisata.id,1
49,"Wisatawan #49",user49@nusawisata.id,2
50,"Wisatawan #50",user50@nusawisata.id,2
51,"Wisatawan #51",user51@nusawisata.id,2
52,"Wisatawan #52",user52@nusawisata.id,2
53,"Wisatawan #53",user53@nusawisata.id,1
54,"Wisatawan #54",user54@nusawisata.id,2
55,"Wisatawan #55",user55@nusawisata.id,2
56,"Wisatawan #56",user56@nusawisata.id,1
57,"Wisatawan #57",user57@nusawisata.id,2
58,"Wisatawan #58",user58@nusawisata.id,1
59,"Wisatawan #59",user59@nusawisata.id,3
60,"Wisatawan #60",user60@nusawisata.id,1
61,"Wisatawan #61",user61@nusawisata.id,2
62,"Wisatawan #62",user62@nusawisata.id,2
63,"Wisatawan #63",user63@nusawisata.id,3
64,"Wisatawan #64",user64@nusawisata.id,1
65,"Wisatawan #65",user65@nusawisata.id,2
66,"Wisatawan #66",user66@nusawisata.id,3
67,"Wisatawan #67",user67@nusawisata.id,1
68,"Wisatawan #68",user68@nusawisata.id,1
69,"Wisatawan #69",user69@nusawisata.id,1
70,"Wisatawan #70",user70@nusawisata.id,2
71,"Wisatawan #71",user71@nusawisata.id,1
72,"Wisatawan #72",user72@nusawisata.id,3
73,"Wisatawan #73",user73@nusawisata.id,2
74,"Wisatawan #74",user74@nusawisata.id,1
75,"Wisatawan #75",user75@nusawisata.id,1
76,"Wisatawan #76",user76@nusawisata.id,2
77,"Wisatawan #77",user77@nusawisata.id,1
78,"Wisatawan #78",user78@nusawisata.id,1
79,"Wisatawan #79",user79@nusawisata.id,1
80,"Wisatawan #80",user80@nusawisata.id,2
81,"Wisatawan #81",user81@nusawisata.id,3
82,"Wisatawan #82",user82@nusawisata.id,2
83,"Wisatawan #83",user83@nusawisata.id,2
84,"Wisatawan #84",user84@nusawisata.id,1
85,"Wisatawan #85",user85@nusawisata.id,1
